date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:43:31	13055/13055	---M--	200	added ('OK')	image/png	etag:W/%22PSA-aj-c1ZUxlkmw4%22	https://lebronconstruction.com/imageserver/AdminMedia/BrandLogos/Mastic/MasticLogo.png	C:/Users/User/Downloads/pages%20copy/lebron%20inc/lebronconstruction.com/imageserver/AdminMedia/BrandLogos/Mastic/MasticLogo.png	(from https://lebronconstruction.com/)
12:43:55	1958849/1958849	---M--	200	added ('OK')	image/png	etag:%221de3c1-58ca34bee0040%22	https://lebronconstruction.com/imageserver/AdminMedia/sliders/2200/kitchenremodel.png	C:/Users/User/Downloads/pages%20copy/lebron%20inc/lebronconstruction.com/imageserver/AdminMedia/sliders/2200/kitchenremodel.png	(from https://lebronconstruction.com/)
12:43:57	21078/21078	---M--	200	added ('OK')	image/png	etag:%225256-55876a084db80%22	https://lebronconstruction.com/imageserver/AdminMedia/BrandLogos/JamesHardie/JamesHardieIcon.png	C:/Users/User/Downloads/pages%20copy/lebron%20inc/lebronconstruction.com/imageserver/AdminMedia/BrandLogos/JamesHardie/JamesHardieIcon.png	(from https://lebronconstruction.com/)
12:43:58	2166/2166	---M--	200	added ('OK')	image/jpeg	etag:W/%22PSA-aj-IeODjke8eS%22	https://lebronconstruction.com/imageserver/AdminMedia/BrandLogos/Velux/VeluxLogo.png	C:/Users/User/Downloads/pages%20copy/lebron%20inc/lebronconstruction.com/imageserver/AdminMedia/BrandLogos/Velux/VeluxLogo.jpg	(from https://lebronconstruction.com/)
12:44:04	350/350	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2028%20Aug%202024%2016:44:04%20GMT	https://lebronconstruction.com/Roofing-Services-11-11.htm	C:/Users/User/Downloads/pages%20copy/lebron%20inc/lebronconstruction.com/Roofing-Services-11-11.14.delayed	(from https://lebronconstruction.com/)
12:44:05	347/347	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2028%20Aug%202024%2016:44:05%20GMT	https://lebronconstruction.com/Remodeling-Services.htm	C:/Users/User/Downloads/pages%20copy/lebron%20inc/lebronconstruction.com/Remodeling-Services.htm	(from https://lebronconstruction.com/)
12:44:06	339/339	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2028%20Aug%202024%2016:44:06%20GMT	https://lebronconstruction.com/Financing_3.htm	C:/Users/User/Downloads/pages%20copy/lebron%20inc/lebronconstruction.com/Financing_3.htm	(from https://lebronconstruction.com/)
12:44:07	340/340	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2028%20Aug%202024%2016:44:07%20GMT	https://lebronconstruction.com/Testimonials.htm	C:/Users/User/Downloads/pages%20copy/lebron%20inc/lebronconstruction.com/Testimonials.htm	(from https://lebronconstruction.com/)
12:44:07	342/342	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2028%20Aug%202024%2016:44:07%20GMT	https://lebronconstruction.com/Online_Coupons.htm	C:/Users/User/Downloads/pages%20copy/lebron%20inc/lebronconstruction.com/Online_Coupons.htm	(from https://lebronconstruction.com/)
12:44:08	338/338	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2028%20Aug%202024%2016:44:08%20GMT	https://lebronconstruction.com/Contact-Us.htm	C:/Users/User/Downloads/pages%20copy/lebron%20inc/lebronconstruction.com/Contact-Us.htm	(from https://lebronconstruction.com/)
12:44:09	335/335	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2028%20Aug%202024%2016:44:09%20GMT	https://lebronconstruction.com/Privacy.htm	C:/Users/User/Downloads/pages%20copy/lebron%20inc/lebronconstruction.com/Privacy.htm	(from https://lebronconstruction.com/)
12:44:10	15913/15913	---M-Z	200	added ('OK')	text/html	date:Wed,%2028%20Aug%202024%2016:44:09%20GMT	https://lebronconstruction.com/Privacy	C:/Users/User/Downloads/pages%20copy/lebron%20inc/lebronconstruction.com/Privacy.html	(from https://lebronconstruction.com/)
12:44:15	17479/17479	---M--	200	added ('OK')	image/png	etag:W/%220%22	https://lebronconstruction.com/imageserver/UserMedia/lebronroofing/xVeteranOwned.png.pagespeed.ic.rKdy3cTdqL.png	C:/Users/User/Downloads/pages%20copy/lebron%20inc/lebronconstruction.com/imageserver/UserMedia/lebronroofing/xVeteranOwned.png.pagespeed.ic.rKdy3cTdqL.png	(from https://lebronconstruction.com/)
12:44:20	86571/86571	---M-Z	200	added ('OK')	application/javascript	etag:W/%220-gzip%22	https://lebronconstruction.com/scripts/js/jquery.min.js.pagespeed.jm.Y8jX7FH_5H.js	C:/Users/User/Downloads/pages%20copy/lebron%20inc/lebronconstruction.com/scripts/js/jquery.min.js.pagespeed.jm.Y8jX7FH_5H.js	(from https://lebronconstruction.com/)
12:44:31	253680/253680	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2006%20Sep%202017%2018:10:13%20GMT	https://lebronconstruction.com/scripts/js/jquery.ui.min.js.pagespeed.jm.AQcg_ugJKF.js	C:/Users/User/Downloads/pages%20copy/lebron%20inc/lebronconstruction.com/scripts/js/jquery.ui.min.js.pagespeed.jm.AQcg_ugJKF.js	(from https://lebronconstruction.com/)
12:44:37	31746/31746	---M-Z	200	added ('OK')	application/javascript	etag:W/%220-gzip%22	https://lebronconstruction.com/js/bootstrap.js.pagespeed.jm.6ojcGkKKdw.js	C:/Users/User/Downloads/pages%20copy/lebron%20inc/lebronconstruction.com/js/bootstrap.js.pagespeed.jm.6ojcGkKKdw.js	(from https://lebronconstruction.com/)
12:44:44	67905/67905	---M-Z	200	added ('OK')	application/javascript	etag:W/%220-gzip%22	https://lebronconstruction.com/js/fancybox.js.pagespeed.jm.0VSxZ50NA8.js	C:/Users/User/Downloads/pages%20copy/lebron%20inc/lebronconstruction.com/js/fancybox.js.pagespeed.jm.0VSxZ50NA8.js	(from https://lebronconstruction.com/)
12:44:51	184646/184646	---M-Z	200	added ('OK')	application/javascript	etag:%222d146-61ef16335ed24-gzip%22	https://lebronconstruction.com/js/javascript-1722871951.js	C:/Users/User/Downloads/pages%20copy/lebron%20inc/lebronconstruction.com/js/javascript-1722871951.js	(from https://lebronconstruction.com/)
12:44:54	79/79	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2028%20Aug%202024%2016:44:54%20GMT	https://lebronconstruction.com/fonts/glyphicons-halflings-regular.eot	C:/Users/User/Downloads/pages%20copy/lebron%20inc/lebronconstruction.com/fonts/glyphicons-halflings-regular.22.delayed	(from https://lebronconstruction.com/css/bootstrap.css+fontawesome.css+animate.css+stylesheet-1722871951.css+Home-1722871951.css.pagespeed.cc.UmTETKVmT7.css)
12:44:55	330/330	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2028%20Aug%202024%2016:44:55%20GMT	http://lebronconstruction.com/404	C:/Users/User/Downloads/pages%20copy/lebron%20inc/lebronconstruction.com/404.23.delayed	(from https://lebronconstruction.com/css/bootstrap.css+fontawesome.css+animate.css+stylesheet-1722871951.css+Home-1722871951.css.pagespeed.cc.UmTETKVmT7.css)
12:44:56	12206/12206	---M-Z	200	added ('OK')	text/html	date:Wed,%2028%20Aug%202024%2016:44:56%20GMT	https://lebronconstruction.com/404	C:/Users/User/Downloads/pages%20copy/lebron%20inc/lebronconstruction.com/404.html	(from https://lebronconstruction.com/css/bootstrap.css+fontawesome.css+animate.css+stylesheet-1722871951.css+Home-1722871951.css.pagespeed.cc.UmTETKVmT7.css)
12:44:59	79/79	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2028%20Aug%202024%2016:44:59%20GMT	https://lebronconstruction.com/fonts/glyphicons-halflings-regular.eot?	C:/Users/User/Downloads/pages%20copy/lebron%20inc/lebronconstruction.com/fonts/glyphicons-halflings-regular.25d41d.delayed	(from https://lebronconstruction.com/css/bootstrap.css+fontawesome.css+animate.css+stylesheet-1722871951.css+Home-1722871951.css.pagespeed.cc.UmTETKVmT7.css)
12:45:00	79/79	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2028%20Aug%202024%2016:45:00%20GMT	https://lebronconstruction.com/fonts/glyphicons-halflings-regular.woff2	C:/Users/User/Downloads/pages%20copy/lebron%20inc/lebronconstruction.com/fonts/glyphicons-halflings-regular.woff2	(from https://lebronconstruction.com/css/bootstrap.css+fontawesome.css+animate.css+stylesheet-1722871951.css+Home-1722871951.css.pagespeed.cc.UmTETKVmT7.css)
12:45:01	79/79	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2028%20Aug%202024%2016:45:01%20GMT	https://lebronconstruction.com/fonts/glyphicons-halflings-regular.woff	C:/Users/User/Downloads/pages%20copy/lebron%20inc/lebronconstruction.com/fonts/glyphicons-halflings-regular.woff	(from https://lebronconstruction.com/css/bootstrap.css+fontawesome.css+animate.css+stylesheet-1722871951.css+Home-1722871951.css.pagespeed.cc.UmTETKVmT7.css)
12:45:02	79/79	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2028%20Aug%202024%2016:45:02%20GMT	https://lebronconstruction.com/fonts/glyphicons-halflings-regular.ttf	C:/Users/User/Downloads/pages%20copy/lebron%20inc/lebronconstruction.com/fonts/glyphicons-halflings-regular.ttf	(from https://lebronconstruction.com/css/bootstrap.css+fontawesome.css+animate.css+stylesheet-1722871951.css+Home-1722871951.css.pagespeed.cc.UmTETKVmT7.css)
12:45:02	79/79	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2028%20Aug%202024%2016:45:02%20GMT	https://lebronconstruction.com/fonts/glyphicons-halflings-regular.svg	C:/Users/User/Downloads/pages%20copy/lebron%20inc/lebronconstruction.com/fonts/glyphicons-halflings-regular.svg	(from https://lebronconstruction.com/css/bootstrap.css+fontawesome.css+animate.css+stylesheet-1722871951.css+Home-1722871951.css.pagespeed.cc.UmTETKVmT7.css)
12:45:10	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%222876e-564006bbed780%22	https://lebronconstruction.com/fonts/fontawesome-webfont.eot?v=4.7.0	C:/Users/User/Downloads/pages%20copy/lebron%20inc/lebronconstruction.com/fonts/fontawesome-webfont3e6e.eot	(from https://lebronconstruction.com/css/bootstrap.css+fontawesome.css+animate.css+stylesheet-1722871951.css+Home-1722871951.css.pagespeed.cc.UmTETKVmT7.css)
12:45:17	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%222876e-564006bbed780%22	https://lebronconstruction.com/fonts/fontawesome-webfont.eot?	C:/Users/User/Downloads/pages%20copy/lebron%20inc/lebronconstruction.com/fonts/fontawesome-webfontd41d.eot	(from https://lebronconstruction.com/css/bootstrap.css+fontawesome.css+animate.css+stylesheet-1722871951.css+Home-1722871951.css.pagespeed.cc.UmTETKVmT7.css)
12:45:20	77160/77160	---M--	200	added ('OK')	font/woff2	etag:%2212d68-564006bbed780%22	https://lebronconstruction.com/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/Users/User/Downloads/pages%20copy/lebron%20inc/lebronconstruction.com/fonts/fontawesome-webfont3e6e.woff2	(from https://lebronconstruction.com/css/bootstrap.css+fontawesome.css+animate.css+stylesheet-1722871951.css+Home-1722871951.css.pagespeed.cc.UmTETKVmT7.css)
12:45:23	98024/98024	---M--	200	added ('OK')	font/woff	etag:%2217ee8-564006bbed780%22	https://lebronconstruction.com/fonts/fontawesome-webfont.woff?v=4.7.0	C:/Users/User/Downloads/pages%20copy/lebron%20inc/lebronconstruction.com/fonts/fontawesome-webfont3e6e.woff	(from https://lebronconstruction.com/css/bootstrap.css+fontawesome.css+animate.css+stylesheet-1722871951.css+Home-1722871951.css.pagespeed.cc.UmTETKVmT7.css)
12:45:30	165548/165548	---M--	200	added ('OK')	font/ttf	etag:%22286ac-564006bbed780%22	https://lebronconstruction.com/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/Users/User/Downloads/pages%20copy/lebron%20inc/lebronconstruction.com/fonts/fontawesome-webfont3e6e.ttf	(from https://lebronconstruction.com/css/bootstrap.css+fontawesome.css+animate.css+stylesheet-1722871951.css+Home-1722871951.css.pagespeed.cc.UmTETKVmT7.css)
12:45:35	51079/51079	---M--	200	added ('OK')	image/png	etag:%22c787-56c80f4ba0a40%22	https://lebronconstruction.com/imageserver/default_images/four_lines_40x19.png	C:/Users/User/Downloads/pages%20copy/lebron%20inc/lebronconstruction.com/imageserver/default_images/four_lines_40x19.png	(from https://lebronconstruction.com/css/bootstrap.css+fontawesome.css+animate.css+stylesheet-1722871951.css+Home-1722871951.css.pagespeed.cc.UmTETKVmT7.css)
12:45:37	16287/16287	---M--	200	added ('OK')	image/gif	etag:%223f9f-55872052e7500%22	https://lebronconstruction.com/imageserver/GlobalMedia/Icons/loading.gif	C:/Users/User/Downloads/pages%20copy/lebron%20inc/lebronconstruction.com/imageserver/GlobalMedia/Icons/loading.gif	(from https://lebronconstruction.com/css/bootstrap.css+fontawesome.css+animate.css+stylesheet-1722871951.css+Home-1722871951.css.pagespeed.cc.UmTETKVmT7.css)
12:45:38	444379/444379	---M--	200	added ('OK')	image/svg+xml	etag:%226c7db-564006bbed780%22	https://lebronconstruction.com/fonts/fontawesome-webfont.svg?v=4.7.0	C:/Users/User/Downloads/pages%20copy/lebron%20inc/lebronconstruction.com/fonts/fontawesome-webfont3e6e.svg	(from https://lebronconstruction.com/css/bootstrap.css+fontawesome.css+animate.css+stylesheet-1722871951.css+Home-1722871951.css.pagespeed.cc.UmTETKVmT7.css)
12:45:39	789/789	---M--	200	added ('OK')	image/png	etag:%22315-558769c95c700%22	https://lebronconstruction.com/imageserver/GlobalMedia/Icons/deleteIcon.png	C:/Users/User/Downloads/pages%20copy/lebron%20inc/lebronconstruction.com/imageserver/GlobalMedia/Icons/deleteIcon.png	(from https://lebronconstruction.com/css/bootstrap.css+fontawesome.css+animate.css+stylesheet-1722871951.css+Home-1722871951.css.pagespeed.cc.UmTETKVmT7.css)
12:45:40	55605/55605	---M--	200	added ('OK')	image/gif	etag:%22d935-558722cff5400%22	https://lebronconstruction.com/imageserver/images/spinner2.gif	C:/Users/User/Downloads/pages%20copy/lebron%20inc/lebronconstruction.com/imageserver/images/spinner2.gif	(from https://lebronconstruction.com/css/bootstrap.css+fontawesome.css+animate.css+stylesheet-1722871951.css+Home-1722871951.css.pagespeed.cc.UmTETKVmT7.css)
12:45:40	1282/1282	---M--	200	added ('OK')	image/png	etag:%22502-558769c95c700%22	https://lebronconstruction.com/imageserver/GlobalMedia/Icons/checkmark.png	C:/Users/User/Downloads/pages%20copy/lebron%20inc/lebronconstruction.com/imageserver/GlobalMedia/Icons/checkmark.png	(from https://lebronconstruction.com/css/bootstrap.css+fontawesome.css+animate.css+stylesheet-1722871951.css+Home-1722871951.css.pagespeed.cc.UmTETKVmT7.css)
12:45:40	79/79	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2028%20Aug%202024%2016:45:41%20GMT	https://lebronconstruction.com/imageserver/confirm/ie.png	C:/Users/User/Downloads/pages%20copy/lebron%20inc/lebronconstruction.com/imageserver/confirm/ie.png	(from https://lebronconstruction.com/css/bootstrap.css+fontawesome.css+animate.css+stylesheet-1722871951.css+Home-1722871951.css.pagespeed.cc.UmTETKVmT7.css)
12:45:41	79/79	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2028%20Aug%202024%2016:45:41%20GMT	https://lebronconstruction.com/imageserver/confirm/body_bg.jpg	C:/Users/User/Downloads/pages%20copy/lebron%20inc/lebronconstruction.com/imageserver/confirm/body_bg.jpg	(from https://lebronconstruction.com/css/bootstrap.css+fontawesome.css+animate.css+stylesheet-1722871951.css+Home-1722871951.css.pagespeed.cc.UmTETKVmT7.css)
12:45:41	79/79	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2028%20Aug%202024%2016:45:42%20GMT	https://lebronconstruction.com/imageserver/confirm/header_bg.jpg	C:/Users/User/Downloads/pages%20copy/lebron%20inc/lebronconstruction.com/imageserver/confirm/header_bg.jpg	(from https://lebronconstruction.com/css/bootstrap.css+fontawesome.css+animate.css+stylesheet-1722871951.css+Home-1722871951.css.pagespeed.cc.UmTETKVmT7.css)
12:45:42	79/79	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2028%20Aug%202024%2016:45:42%20GMT	https://lebronconstruction.com/imageserver/confirm/buttons.png	C:/Users/User/Downloads/pages%20copy/lebron%20inc/lebronconstruction.com/imageserver/confirm/buttons.png	(from https://lebronconstruction.com/css/bootstrap.css+fontawesome.css+animate.css+stylesheet-1722871951.css+Home-1722871951.css.pagespeed.cc.UmTETKVmT7.css)
12:45:42	79/79	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2028%20Aug%202024%2016:45:43%20GMT	https://lebronconstruction.com/imageserver/confirm/buttons.png	C:/Users/User/Downloads/pages%20copy/lebron%20inc/lebronconstruction.com/imageserver/confirm/buttons.png	(from https://lebronconstruction.com/css/bootstrap.css+fontawesome.css+animate.css+stylesheet-1722871951.css+Home-1722871951.css.pagespeed.cc.UmTETKVmT7.css)
12:45:43	79/79	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2028%20Aug%202024%2016:45:43%20GMT	https://lebronconstruction.com/css/images/layers.png	C:/Users/User/Downloads/pages%20copy/lebron%20inc/lebronconstruction.com/css/images/layers.png	(from https://lebronconstruction.com/css/bootstrap.css+fontawesome.css+animate.css+stylesheet-1722871951.css+Home-1722871951.css.pagespeed.cc.UmTETKVmT7.css)
12:45:43	79/79	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2028%20Aug%202024%2016:45:44%20GMT	https://lebronconstruction.com/css/images/layers-2x.png	C:/Users/User/Downloads/pages%20copy/lebron%20inc/lebronconstruction.com/css/images/layers-2x.png	(from https://lebronconstruction.com/css/bootstrap.css+fontawesome.css+animate.css+stylesheet-1722871951.css+Home-1722871951.css.pagespeed.cc.UmTETKVmT7.css)
12:45:44	79/79	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2028%20Aug%202024%2016:45:44%20GMT	https://lebronconstruction.com/images/pattern.png	C:/Users/User/Downloads/pages%20copy/lebron%20inc/lebronconstruction.com/images/pattern.png	(from https://lebronconstruction.com/css/bootstrap.css+fontawesome.css+animate.css+stylesheet-1722871951.css+Home-1722871951.css.pagespeed.cc.UmTETKVmT7.css)
12:45:44	79/79	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2028%20Aug%202024%2016:45:45%20GMT	https://lebronconstruction.com/images/6.jpg	C:/Users/User/Downloads/pages%20copy/lebron%20inc/lebronconstruction.com/images/6.jpg	(from https://lebronconstruction.com/css/bootstrap.css+fontawesome.css+animate.css+stylesheet-1722871951.css+Home-1722871951.css.pagespeed.cc.UmTETKVmT7.css)
12:45:45	79/79	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2028%20Aug%202024%2016:45:45%20GMT	https://lebronconstruction.com/images/5.jpg	C:/Users/User/Downloads/pages%20copy/lebron%20inc/lebronconstruction.com/images/5.jpg	(from https://lebronconstruction.com/css/bootstrap.css+fontawesome.css+animate.css+stylesheet-1722871951.css+Home-1722871951.css.pagespeed.cc.UmTETKVmT7.css)
12:45:45	79/79	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2028%20Aug%202024%2016:45:46%20GMT	https://lebronconstruction.com/images/4.jpg	C:/Users/User/Downloads/pages%20copy/lebron%20inc/lebronconstruction.com/images/4.jpg	(from https://lebronconstruction.com/css/bootstrap.css+fontawesome.css+animate.css+stylesheet-1722871951.css+Home-1722871951.css.pagespeed.cc.UmTETKVmT7.css)
12:45:46	79/79	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2028%20Aug%202024%2016:45:46%20GMT	https://lebronconstruction.com/images/3.jpg	C:/Users/User/Downloads/pages%20copy/lebron%20inc/lebronconstruction.com/images/3.jpg	(from https://lebronconstruction.com/css/bootstrap.css+fontawesome.css+animate.css+stylesheet-1722871951.css+Home-1722871951.css.pagespeed.cc.UmTETKVmT7.css)
12:45:46	79/79	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2028%20Aug%202024%2016:45:47%20GMT	https://lebronconstruction.com/images/2.jpg	C:/Users/User/Downloads/pages%20copy/lebron%20inc/lebronconstruction.com/images/2.jpg	(from https://lebronconstruction.com/css/bootstrap.css+fontawesome.css+animate.css+stylesheet-1722871951.css+Home-1722871951.css.pagespeed.cc.UmTETKVmT7.css)
12:45:47	79/79	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2028%20Aug%202024%2016:45:47%20GMT	https://lebronconstruction.com/images/1.jpg	C:/Users/User/Downloads/pages%20copy/lebron%20inc/lebronconstruction.com/images/1.jpg	(from https://lebronconstruction.com/css/bootstrap.css+fontawesome.css+animate.css+stylesheet-1722871951.css+Home-1722871951.css.pagespeed.cc.UmTETKVmT7.css)
12:45:51	90950/90950	---M--	200	added ('OK')	image/png	etag:%2216346-5a82619b3f140%22	https://lebronconstruction.com/imageserver/GlobalMedia/Icons/socialMediaIcons.png	C:/Users/User/Downloads/pages%20copy/lebron%20inc/lebronconstruction.com/imageserver/GlobalMedia/Icons/socialMediaIcons.png	(from https://lebronconstruction.com/css/bootstrap.css+fontawesome.css+animate.css+stylesheet-1722871951.css+Home-1722871951.css.pagespeed.cc.UmTETKVmT7.css)
